Date,Open,High,Low,Close,Volume,OpenInt
06-04-1983,2.6112,2.62,2.5771,2.62,539368,0
07-04-1983,2.62,2.6539,2.62,2.6368,443347,0
08-04-1983,2.6368,2.6878,2.5944,2.62,926108,0
11-04-1983,2.62,2.6368,2.6112,2.62,304998,0
12-04-1983,2.6112,2.62,2.5771,2.6112,159510,0
13-04-1983,2.5944,2.6112,2.5093,2.5263,1010490,0
14-04-1983,2.5263,2.5604,2.4667,2.5433,524820,0
15-04-1983,2.5604,2.5604,2.5007,2.5263,2143194,0
18-04-1983,2.5263,2.5604,2.4498,2.5263,1998232,0
19-04-1983,2.5263,2.6112,2.5007,2.5433,1651172,0
20-04-1983,2.5771,2.62,2.5604,2.5944,1254120,0
21-04-1983,2.892,2.9176,2.841,2.858,4774968,0
22-04-1983,2.841,3.0281,2.841,2.9346,1963846,0
25-04-1983,2.9176,3.0026,2.8238,2.858,1088526,0
26-04-1983,2.858,2.9346,2.7815,2.9176,2335238,0
27-04-1983,2.9176,2.9856,2.841,2.909,1791637,0
28-04-1983,2.909,2.9346,2.8748,2.909,394937,0
29-04-1983,2.892,2.9176,2.841,2.8748,582219,0
02-05-1983,2.8326,2.8493,2.7985,2.8326,511064,0
03-05-1983,2.8326,2.8326,2.7728,2.8326,393612,0
04-05-1983,2.8326,2.8664,2.7985,2.8326,359754,0
05-05-1983,2.8326,2.8664,2.7815,2.7815,360814,0
06-05-1983,2.7985,2.8326,2.6878,2.7985,1956969,0
09-05-1983,2.7985,2.8155,2.7558,2.7815,693851,0
10-05-1983,2.7985,2.8664,2.7985,2.8664,381183,0
11-05-1983,2.8748,2.909,2.8664,2.8664,744643,0
12-05-1983,2.892,2.96,2.8748,2.96,1820471,0
13-05-1983,2.9856,3.0535,2.96,3.0026,1974160,0
16-05-1983,2.9856,3.0195,2.9428,3.0195,593599,0
17-05-1983,3.0195,3.0535,2.9856,2.9856,984306,0
18-05-1983,3.0026,3.0535,2.977,2.977,1726035,0
19-05-1983,3.0195,3.0195,2.9428,2.977,728505,0
20-05-1983,2.9856,3.0026,2.8664,2.9428,326956,0
23-05-1983,2.909,2.977,2.892,2.96,400759,0
24-05-1983,2.96,3.0026,2.9428,2.977,647033,0
25-05-1983,3.0026,3.0367,2.9856,3.0195,488582,0
26-05-1983,3.0367,3.2068,3.0367,3.1812,1436640,0
27-05-1983,3.2236,3.2747,3.2068,3.2236,644653,0
31-05-1983,3.2579,3.2579,3.1898,3.2236,874787,0
01-06-1983,3.2236,3.2747,3.2068,3.2747,1031124,0
02-06-1983,3.2921,3.3343,3.2747,3.3343,2533897,0
03-06-1983,3.3343,3.3343,3.2407,3.2579,638828,0
06-06-1983,3.2921,3.2921,3.2068,3.2407,311612,0
07-06-1983,3.2579,3.2921,3.2236,3.2579,435675,0
08-06-1983,3.2407,3.2407,3.1299,3.147,378803,0
09-06-1983,3.1299,3.1642,3.0792,3.147,684857,0
10-06-1983,3.1642,3.1812,3.1131,3.1642,584074,0
13-06-1983,3.1898,3.2068,3.1812,3.1898,695970,0
14-06-1983,3.1898,3.2236,3.1812,3.2068,423771,0
15-06-1983,3.1812,3.1898,3.1299,3.1642,208975,0
16-06-1983,3.1898,3.1898,3.0961,3.1131,621374,0
17-06-1983,3.1131,3.1131,3.0792,3.1131,307116,0
20-06-1983,3.147,3.1642,3.0792,3.147,715811,0
21-06-1983,3.1812,3.2236,3.147,3.2236,501017,0
22-06-1983,3.2579,3.2747,3.2236,3.2579,665813,0
23-06-1983,3.2579,3.2579,3.2236,3.2407,473766,0
24-06-1983,3.2407,3.2747,3.2236,3.2407,436467,0
27-06-1983,3.2407,3.2747,3.1898,3.2747,212413,0
28-06-1983,3.2747,3.2747,3.1898,3.2068,347851,0
29-06-1983,3.2236,3.2747,3.1898,3.2068,265320,0
30-06-1983,3.1812,3.2068,3.147,3.1812,439910,0
01-07-1983,3.147,3.2068,3.147,3.2068,53965,0
05-07-1983,3.2068,3.2068,3.1812,3.1812,112953,0
